Cibo;Energia[kcal];Grassi [g];Saturi [g];Carboidrati [g];Zuccheri [g];Fibre [g];Proteine [g];Sale [g];Prezzo [100g];Data;Note;Categoria
Pasta di semola, secca, cruda;353;1,5;0,3;71;3;3;12,5;0,02;;;;Cereali e derivati
Pasta integrale, secca, cruda;337;2,5;0,5;66,2;2,6;8;13,4;0,02;;;;Cereali e derivati
Riso, bianco, crudo;332;0,6;0,2;74;0,2;1,2;6,7;0,01;;;;Cereali e derivati
Riso integrale, crudo;337;2,4;0,5;71;0,9;3,5;7,5;0,01;;;;Cereali e derivati
Pane comune, tipo 00;275;0,8;0,2;56;2,5;3;8,1;1,5;;;;Cereali e derivati
Pane integrale;253;2,5;0,5;45,8;3;7;9;1,5;;;;Cereali e derivati
Grissini;434;12;2;68;3;3,5;11;2,6;;;;Cereali e derivati
Fette biscottate;408;8;2;74;8;3,5;10,5;1,4;;;;Cereali e derivati
Farina di grano tenero tipo 00;340;1;0,2;74;0,5;2,5;11;0;;;;Cereali e derivati
Farina integrale;319;2;0,3;62;1,5;9;13;0;;;;Cereali e derivati
Cous cous, crudo;376;0,6;0,1;77;0,5;5;12,8;0,02;;;;Cereali e derivati
Orzo perlato, crudo;350;1,1;0,2;73;0,8;15,6;10,4;0,01;;;;Cereali e derivati
Farro, crudo;335;2,5;0,4;67,1;2,6;8,5;15,1;0,01;;;;Cereali e derivati
Quinoa, cruda;368;6,1;0,7;64,2;1,6;7;14,1;0,01;;;;Cereali e derivati
Mais, farina (fioretto);355;3,5;0,6;76,9;1;4,1;8,6;0,01;;;;Cereali e derivati
Polenta, cotta;70;0,5;0,1;15;0,2;1;1,5;0,3;;;;Cereali e derivati
Crackers;448;15;2,5;68;3;3;10;2,5;;;;Cereali e derivati
Taralli;470;20;3;63;2;3;9;2,3;;;;Cereali e derivati
Piadina;300;9;3,5;47;2;2;7,5;1,8;;;;Cereali e derivati
Pizza margherita;266;10;4;33;3;2;11;1,3;;;;Cereali e derivati
Focaccia;290;9;1,5;45;2;2;7;1,8;;;;Cereali e derivati
Gnocchi di patate, freschi;140;1;0,2;28;1;1,5;3;0,6;;;;Cereali e derivati
Cornflakes;378;0,9;0,2;84;8;3;7;1,1;;;;Cereali e derivati
